URL,ProjectName,Path,Status,DeadAliveStatus
https://github.com/cloudmesh/cloudmesh-common,cloudmesh-common,../PythonFiles_keep/cloudmesh-common,Succeeded,Alive
https://github.com/Salamek/cron-descriptor,cron-descriptor,../PythonFiles_keep/cron-descriptor,Succeeded,Alive
https://github.com/pandas-profiling/pandas-profiling,pandas-profiling,../PythonFiles_keep/pandas-profiling,Succeeded,Alive
https://github.com/geopython/pygeometa,pygeometa,../PythonFiles_keep/pygeometa,Succeeded,Alive
https://github.com/diarmuidcwc/AcraNetwork,AcraNetwork,../PythonFiles_keep/AcraNetwork,Succeeded,Alive
https://github.com/analysiscenter/batchflow,batchflow,../PythonFiles_keep/batchflow,Succeeded,Alive
https://github.com/thxo/cabrillo,cabrillo,../PythonFiles_keep/cabrillo,Succeeded,Alive
https://github.com/numat/alicat,alicat,../PythonFiles_keep/alicat,Succeeded,Alive
https://github.com/centrifugal/centrifuge-python,centrifuge-python,../PythonFiles_keep/centrifuge-python,Succeeded,Alive
https://github.com/jlaska/pytest-ansible,pytest-ansible,../PythonFiles_keep/pytest-ansible,Succeeded,Alive
https://github.com/mgrp/django-distill,django-distill,../PythonFiles_keep/django-distill,Succeeded,Alive
https://github.com/rfverbruggen/rachiopy,rachiopy,../PythonFiles_keep/rachiopy,,Alive
https://github.com/scikit-hep/boost-histogram,boost-histogram,../PythonFiles_keep/boost-histogram,,Alive
https://github.com/alexdlaird/pyngrok,pyngrok,../PythonFiles_keep/pyngrok,,Alive
https://github.com/jazzband/django-silk,django-silk,../PythonFiles_keep/django-silk,,Alive
https://github.com/lRomul/argus,argus,../PythonFiles_keep/argus,,Alive
https://github.com/Tatsh/ffmpeg-progress,ffmpeg-progress,../PythonFiles_keep/ffmpeg-progress,,Alive
https://github.com/sorgerlab/indra,indra,../PythonFiles_keep/indra,,Alive
https://github.com/openvax/isovar,isovar,../PythonFiles_keep/isovar,,Alive
https://github.com/CleanCut/green,green,../PythonFiles_keep/green,,Alive
https://github.com/danielhrisca/asammdf,asammdf,../PythonFiles_keep/asammdf,,Alive
https://github.com/bradmontgomery/clog,clog,../PythonFiles_keep/clog,,dead
https://github.com/jorgebastida/cfn-response,cfn-response,../PythonFiles_keep/cfn-response,,dead
https://github.com/victor-torres/as_list,as_list,../PythonFiles_keep/as_list,,dead
https://github.com/kariminf/aruudy,aruudy,../PythonFiles_keep/aruudy,,dead
https://github.com/UCDavisLibrary/almapipy,almapipy,../PythonFiles_keep/almapipy,Succeeded,dead
https://github.com/sandervoerman/channels,channels,../PythonFiles_keep/channels,,dead
https://github.com/limpbrains/django-cc,django-cc,../PythonFiles_keep/django-cc,,dead
https://github.com/ynop/audiomate,audiomate,../PythonFiles_keep/audiomate,,dead
https://github.com/fp12/achallonge,achallonge,../PythonFiles_keep/achallonge,Succeeded,dead
https://github.com/MineRobber9000/archive-cdx,archive-cdx,../PythonFiles_keep/archive-cdx,Succeeded,dead
https://github.com/HDE/arsenic,arsenic,../PythonFiles_keep/arsenic,,dead
https://github.com/sjkingo/django-breadcrumbs3,django-breadcrumbs3,../PythonFiles_keep/django-breadcrumbs3,,dead
https://github.com/centrifugal/adjacent,adjacent,../PythonFiles_keep/adjacent,Succeeded,dead
https://github.com/kennedyshead/aioasuswrt,aioasuswrt,../PythonFiles_keep/aioasuswrt,Succeeded,dead
https://github.com/NightKhaos/accustom,accustom,../PythonFiles_keep/accustom,Succeeded,dead
https://github.com/lacava/DistanceClassifier,DistanceClassifier,../PythonFiles_keep/DistanceClassifier,,dead
https://github.com/yannforget/asarapi,asarapi,../PythonFiles_keep/asarapi,,dead
https://github.com/realcr/asyncio_time_travel,asyncio_time_travel,../PythonFiles_keep/asyncio_time_travel,,dead
https://github.com/felipemfp/dicio,dicio,../PythonFiles_keep/dicio,,dead
https://github.com/ramon-oliveira/aorun,aorun,../PythonFiles_keep/aorun,Succeeded,dead
https://github.com/counsyl/civet,civet,../PythonFiles_keep/civet,,dead
https://github.com/CouncilDataProject/cdptools,cdptools,../PythonFiles_keep/cdptools,,dead
https://github.com/MatteoLacki/aa2atom,aa2atom,../PythonFiles_keep/aa2atom,Succeeded,dead
https://github.com/kootenpv/access_points,access_points,../PythonFiles_keep/access_points,Succeeded,dead
https://github.com/bethgelab/adversarial-vision-challenge,adversarial-vision-challenge,../PythonFiles_keep/adversarial-vision-challenge,Succeeded,dead
https://github.com/Apstra/aeon-venos,aeon-venos,../PythonFiles_keep/aeon-venos,Succeeded,dead
https://github.com/datamade/affinegap,affinegap,../PythonFiles_keep/affinegap,Succeeded,dead
https://github.com/royels/Affirmpy,Affirmpy,../PythonFiles_keep/Affirmpy,Succeeded,dead
https://github.com/tkukushkin/aioamqp-consumer-best,aioamqp-consumer-best,../PythonFiles_keep/aioamqp-consumer-best,Succeeded,dead
https://github.com/rob-blackbourn/aiohttp-route-middleware,aiohttp-route-middleware,../PythonFiles_keep/aiohttp-route-middleware,Succeeded,dead
https://github.com/rominf/aiojira,aiojira,../PythonFiles_keep/aiojira,Succeeded,dead
https://github.com/macrovve/aisparser,aisparser,../PythonFiles_keep/aisparser,Succeeded,dead
https://github.com/keras-team/keras,keras,../PythonFiles_keep/keras,,Alive

